city,rank,species,removed_count,pct_of_city_removed,city_removed_total,source
Atlanta (Trees Atlanta),7,Quercus alba,412,2.49,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),8,Acer rubrum,404,2.45,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),9,Carpinus caroliniana,379,2.29,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),10,Magnolia virginiana,373,2.26,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),11,Liriodendron tulipifera,342,2.07,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),12,Quercus texana,283,1.71,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),13,Ostrya virginiana,268,1.62,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),14,Parrotia persica,243,1.47,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),15,Ulmus americana,241,1.46,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),16,Quercus shumardii,236,1.43,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),17,Quercus lyrata,212,1.28,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),18,Chionanthus retusus,207,1.25,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),19,Taxodium distichum,204,1.24,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),20,Chionanthus virginicus,181,1.1,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),21,Quercus phellos,180,1.09,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),22,Ginkgo biloba,178,1.08,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),23,Juniperus virginiana,173,1.05,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),24,Tilia americana,163,0.99,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
Atlanta (Trees Atlanta),25,Cornus kousa,155,0.94,16518,"Atlanta Status IN ('Dead','Vandalized Dead')"
